Madeline Clutch Key Chain,This four-bead buddy makes any key look custom! Its distinctive design makes it easy to spot and sport!,37,Keychain Clutch,1
Madeline Wrist Key Chain All Clay,"Our couture key companion gives you a simple and stylish way to simplify your life. The oversized bead designs make organization, fashionable and FUN!",70,Keychain Wrist AC,1
Madeline Wrist Key Chain with Silver Plate Rounds,"Our couture key companion gives you a simple and stylish way to simplify your life. The oversized bead designs make organization, fashionable and FUN!",55,Keychain Wrist SP,1
Madeline Bauble Key Chain,"Big, bigger, BAUBLE! This fashion forward fob gives your keys the royal treatment. With a dash a Swarovski crystal it’s gorgeous, and good to GO!",38,Keychain Bauble,1
Madeline Small Bead Watch with All Clay,"Function meets fashion with the She Beads signature watch. A double band of our small clay beads keep you up to the minute, perfectly in style!",138,Watch SB AC,1
Madeline Post Earrings,Art for the EARS!  These earrings feature one-of-a-kind designs and a sterling silver post.  Keeping it simple never looked so special!,14,Earrings Post,1
Madeline Small Bead Earrings All Clay,This feminine sterling silver earring pair is the perfect match with any of the She Beads jewelry pieces in your collection.,20,Earrings SB AC,1
Madeline Small Bead Earrings with Swarovski Crystal,Add a little light to your day and night.  It's the perfect accent to the twinkle in your eyes!  Our sterling silver French clip lets you add elegance to your ears. <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings),28,Earrings SB CR,1
Madeline Large Bead Earrings All Clay,"Our small and large bead, nestle together on this sterling silver French clip classic.  It's a delicate dangle, with a designer flair! The Triple Crystal Earrings drop much lower than the others, creating a very elegant style! <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",28,Earrings Double AC,1
Madeline Large Bead Earrings with Swarovski Crystal,This dual bead sparkler will light up any occasion!  Swarovski crystal and its sterling silver French clip make it doubly delightful. <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings!),36,Earrings Double CR,1
Madeline Triple Earrings All Clay,"The NEWEST of earring designs! The Triple Earrings drop much lower than the others, creating a very elegant style!<BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",36,Earrings Triple AC,1
Madeline Triple Earrings with Swarovski Crystal,"The NEWEST of earring designs! The Triple Earrings drop much lower than the others, creating a very elegant style!<BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",48,Earrings Triple CR,1
Madeline Cross Pendant,"This two-sided clay creation does double the duty! Inlaid in silver, one side features a black and white motif design. The flip side is all about your color! Its sterling silver bail attaches easily to any She Beads bracelet or necklace, or even a ribbon of your choice!",45,Pendant-Cross/Tear/Oval,1
Madeline Square Bead,"She Beads Squares are the fun, funky, fashionable jewelry addition to your add a bead charm bracelet! They easily slide onto and off of the leading add-a-bead charm bracelets! With so many different styles, we can't even pick a favorite!",10,"SOLO - Bead, Square",1
Madeline Lanyard,"This functional companion gives you a simple and stylish way to sport your name badge, glasses, or even needlepoint scissors for the crafty creators!",36,Lanyard,1
Tess Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Tess Small Bead Bracelet All Clay,"These small bead beauties are the perfect anytime you want that one-of-a-kind accent.  Single or stacked, they√¢‚Ç¨‚Ñ¢re a surefire standout!",48,Bracelet SB AC,1
Tess Small Bead Bracelet with Sterling Silver Rounds,A timeless look from these sterling silver rounds. These bracelets are a great way to start your She Beads collection.,50,Bracelet SB SR,1
